Maturity (Years),Execution Date,Horizon (Years),Metric,Value
10.0,1990-08-01,1.0,R-Squared,-2.58691854917172
10.0,1990-08-01,2.0,RMSE,0.008054949148903265
10.0,1990-08-01,2.0,R-Squared,-1.2435319736120607
10.0,1990-08-01,3.0,RMSE,0.012469677039271291
10.0,1990-08-01,3.0,R-Squared,-0.988005100573327
10.0,1990-08-01,4.0,RMSE,0.013700252173131065
10.0,1990-08-01,4.0,R-Squared,-1.1417073272723015
10.0,1990-08-01,5.0,RMSE,0.01297005116204035
10.0,1990-08-01,5.0,R-Squared,-1.1352651791139343
0.08333,1990-06-01,0.5,RMSE,
0.08333,1990-06-01,0.5,R-Squared,
0.08333,1990-06-01,1.0,RMSE,
0.08333,1990-06-01,1.0,R-Squared,
0.08333,1990-06-01,2.0,RMSE,
0.08333,1990-06-01,2.0,R-Squared,
0.08333,1990-06-01,3.0,RMSE,
0.08333,1990-06-01,3.0,R-Squared,
0.08333,1990-06-01,4.0,RMSE,
0.08333,1990-06-01,4.0,R-Squared,
0.08333,1990-06-01,5.0,RMSE,
0.08333,1990-06-01,5.0,R-Squared,
0.25,1990-06-01,0.5,RMSE,0.006374446179689251
0.25,1990-06-01,0.5,R-Squared,-2.3807891641542636
0.25,1990-06-01,1.0,RMSE,0.013602359705983651
0.25,1990-06-01,1.0,R-Squared,-2.2129097441637047
0.25,1990-06-01,2.0,RMSE,0.024573039517577718
0.25,1990-06-01,2.0,R-Squared,-2.453890717643423
0.25,1990-06-01,3.0,RMSE,0.03188937410428696
0.25,1990-06-01,3.0,R-Squared,-3.0325067036384814
0.25,1990-06-01,4.0,RMSE,0.03354981534650097
0.25,1990-06-01,4.0,R-Squared,-3.9874084139391694
0.25,1990-06-01,5.0,RMSE,0.030960749455906312
0.25,1990-06-01,5.0,R-Squared,-3.683823048483724
0.5,1990-06-01,0.5,RMSE,0.006564275749287467
0.5,1990-06-01,0.5,R-Squared,-2.9159890561834887
0.5,1990-06-01,1.0,RMSE,0.013615063146927163
0.5,1990-06-01,1.0,R-Squared,-2.5415589484646715
0.5,1990-06-01,2.0,RMSE,0.024891557471995836
0.5,1990-06-01,2.0,R-Squared,-2.5949924213735187
0.5,1990-06-01,3.0,RMSE,0.03208973904422531
0.5,1990-06-01,3.0,R-Squared,-3.1876540916959266
0.5,1990-06-01,4.0,RMSE,0.03344330073073276
0.5,1990-06-01,4.0,R-Squared,-4.128388471229514
0.5,1990-06-01,5.0,RMSE,0.03066408123515514
0.5,1990-06-01,5.0,R-Squared,-3.58610409592322
1.0,1990-06-01,0.5,RMSE,0.006780639829677228
1.0,1990-06-01,0.5,R-Squared,-3.5829594319197353
1.0,1990-06-01,1.0,RMSE,0.013302704666650747
1.0,1990-06-01,1.0,R-Squared,-3.135719356772128
1.0,1990-06-01,2.0,RMSE,0.02493919157723898
1.0,1990-06-01,2.0,R-Squared,-2.7326929908088884
1.0,1990-06-01,3.0,RMSE,0.03227292990489133
1.0,1990-06-01,3.0,R-Squared,-3.295842188918093
1.0,1990-06-01,4.0,RMSE,0.0333188150666902
1.0,1990-06-01,4.0,R-Squared,-4.155213454446219
1.0,1990-06-01,5.0,RMSE,0.03039375304748242
1.0,1990-06-01,5.0,R-Squared,-3.3336008926754914
2.0,1990-06-01,0.5,RMSE,0.005920653749575043
2.0,1990-06-01,0.5,R-Squared,-3.167796133056653
2.0,1990-06-01,1.0,RMSE,0.010424568619978525
2.0,1990-06-01,1.0,R-Squared,-3.67667752644118
2.0,1990-06-01,2.0,RMSE,0.02057945376682465
2.0,1990-06-01,2.0,R-Squared,-2.661318964978875
2.0,1990-06-01,3.0,RMSE,0.028010370825000772
2.0,1990-06-01,3.0,R-Squared,-2.9347252184308883
2.0,1990-06-01,4.0,RMSE,0.029397435574014707
2.0,1990-06-01,4.0,R-Squared,-3.6102140907988547
2.0,1990-06-01,5.0,RMSE,0.02685729713395558
2.0,1990-06-01,5.0,R-Squared,-2.9627449866412063
3.0,1990-06-01,0.5,RMSE,0.005628548275559923
3.0,1990-06-01,0.5,R-Squared,-2.933896754444156
3.0,1990-06-01,1.0,RMSE,0.009324885494936735
3.0,1990-06-01,1.0,R-Squared,-4.106518766661807
3.0,1990-06-01,2.0,RMSE,0.018374451899405796
3.0,1990-06-01,2.0,R-Squared,-2.712602338111686
3.0,1990-06-01,3.0,RMSE,0.025434742798712353
3.0,1990-06-01,3.0,R-Squared,-2.849244982353725
3.0,1990-06-01,4.0,RMSE,0.027101950154908912
3.0,1990-06-01,4.0,R-Squared,-3.434937122648811
3.0,1990-06-01,5.0,RMSE,0.024854796636441634
3.0,1990-06-01,5.0,R-Squared,-2.9544412544000203
4.0,1990-06-01,0.5,RMSE,0.004816588382932644
4.0,1990-06-01,0.5,R-Squared,-1.937602974460264
4.0,1990-06-01,1.0,RMSE,0.007569141614644084
4.0,1990-06-01,1.0,R-Squared,-3.714257087704814
4.0,1990-06-01,2.0,RMSE,0.01542073837000163
4.0,1990-06-01,2.0,R-Squared,-2.435796217986708
4.0,1990-06-01,3.0,RMSE,0.022078694196791638
4.0,1990-06-01,3.0,R-Squared,-2.486622965983987
4.0,1990-06-01,4.0,RMSE,0.024025349485258918
4.0,1990-06-01,4.0,R-Squared,-2.941610579316394
4.0,1990-06-01,5.0,RMSE,0.022107353002709444
4.0,1990-06-01,5.0,R-Squared,-2.641161038858294
5.0,1990-06-01,0.5,RMSE,0.0038567813425666292
5.0,1990-06-01,0.5,R-Squared,-0.8665652687036709
5.0,1990-06-01,1.0,RMSE,0.005530404858767967
5.0,1990-06-01,1.0,R-Squared,-2.489203655077837
5.0,1990-06-01,2.0,RMSE,0.012082325852537514
5.0,1990-06-01,2.0,R-Squared,-1.8775268848943303
5.0,1990-06-01,3.0,RMSE,0.018319118703648562
5.0,1990-06-01,3.0,R-Squared,-1.9240946099270202
5.0,1990-06-01,4.0,RMSE,0.02056341333899317
5.0,1990-06-01,4.0,R-Squared,-2.2511768947067052
5.0,1990-06-01,5.0,RMSE,0.01899794423836644
5.0,1990-06-01,5.0,R-Squared,-2.1039359069276085
6.0,1990-06-01,0.5,RMSE,0.003484844162002262
6.0,1990-06-01,0.5,R-Squared,-0.48232020144019594
6.0,1990-06-01,1.0,RMSE,0.004998190471178192
6.0,1990-06-01,1.0,R-Squared,-1.8175536574713282
6.0,1990-06-01,2.0,RMSE,0.011020119521624929
6.0,1990-06-01,2.0,R-Squared,-1.6852063835902382
6.0,1990-06-01,3.0,RMSE,0.017030473208177414
6.0,1990-06-01,3.0,R-Squared,-1.754427283044938
6.0,1990-06-01,4.0,RMSE,0.019370452843032782
6.0,1990-06-01,4.0,R-Squared,-2.0532356802379907
6.0,1990-06-01,5.0,RMSE,0.017931150439379717
6.0,1990-06-01,5.0,R-Squared,-1.9554415705374937
7.0,1990-06-01,0.5,RMSE,0.003176536290532238
7.0,1990-06-01,0.5,R-Squared,-0.1875707377196263
7.0,1990-06-01,1.0,RMSE,0.004409973010310538
7.0,1990-06-01,1.0,R-Squared,-1.1645688500160172
7.0,1990-06-01,2.0,RMSE,0.009837716016184226
7.0,1990-06-01,2.0,R-Squared,-1.4260930178407105
7.0,1990-06-01,3.0,RMSE,0.01560949674459759
7.0,1990-06-01,3.0,R-Squared,-1.536139004731345
7.0,1990-06-01,4.0,RMSE,0.01805261814728329
7.0,1990-06-01,4.0,R-Squared,-1.8079812410534406
7.0,1990-06-01,5.0,RMSE,0.016747107473778302
7.0,1990-06-01,5.0,R-Squared,-1.7547216978686233
8.0,1990-06-01,0.5,RMSE,0.0030437151652475685
8.0,1990-06-01,0.5,R-Squared,-0.041999672750329786
8.0,1990-06-01,1.0,RMSE,0.0038478245109093354
8.0,1990-06-01,1.0,R-Squared,-0.6188627635126536
8.0,1990-06-01,2.0,RMSE,0.008585775867828705
8.0,1990-06-01,2.0,R-Squared,-1.1193174463881248
8.0,1990-06-01,3.0,RMSE,0.014106511060831026
8.0,1990-06-01,3.0,R-Squared,-1.282954299998388
8.0,1990-06-01,4.0,RMSE,0.016661118261208627
8.0,1990-06-01,4.0,R-Squared,-1.532523871063856
8.0,1990-06-01,5.0,RMSE,0.015494972946820522
8.0,1990-06-01,5.0,R-Squared,-1.5161966486201286
9.0,1990-06-01,0.5,RMSE,0.0031661761405615283
9.0,1990-06-01,0.5,R-Squared,-0.06848274830884482
9.0,1990-06-01,1.0,RMSE,0.0033871136389931372
9.0,1990-06-01,1.0,R-Squared,-0.2290174222526804
9.0,1990-06-01,2.0,RMSE,0.007300135129908579
9.0,1990-06-01,2.0,R-Squared,-0.7790063710152908
9.0,1990-06-01,3.0,RMSE,0.01254839219250051
9.0,1990-06-01,3.0,R-Squared,-1.0033977340648645
