Maturity (Years),Execution Date,Horizon (Years),Metric,Value
1.0,1989-12-01,1.0,R-Squared,0.010936189842762678
1.0,1989-12-01,2.0,RMSE,0.010880783541591457
1.0,1989-12-01,2.0,R-Squared,0.24910048881391356
1.0,1989-12-01,3.0,RMSE,0.018981670953915557
1.0,1989-12-01,3.0,R-Squared,-0.166188611199648
1.0,1989-12-01,4.0,RMSE,0.022737375205178195
1.0,1989-12-01,4.0,R-Squared,-0.49882884410839257
1.0,1989-12-01,5.0,RMSE,0.02134585604622608
1.0,1989-12-01,5.0,R-Squared,-0.5226364608830116
2.0,1989-12-01,0.5,RMSE,0.007753611323924669
2.0,1989-12-01,0.5,R-Squared,-7.9368205845786495
2.0,1989-12-01,1.0,RMSE,0.005826182454386843
2.0,1989-12-01,1.0,R-Squared,-0.5017061457922951
2.0,1989-12-01,2.0,RMSE,0.009169187912850435
2.0,1989-12-01,2.0,R-Squared,0.3038427655396806
2.0,1989-12-01,3.0,RMSE,0.01550259821837338
2.0,1989-12-01,3.0,R-Squared,-0.035187643704507554
2.0,1989-12-01,4.0,RMSE,0.019739824163173533
2.0,1989-12-01,4.0,R-Squared,-0.34933350272228525
2.0,1989-12-01,5.0,RMSE,0.018520654000811904
2.0,1989-12-01,5.0,R-Squared,-0.355432062313511
3.0,1989-12-01,0.5,RMSE,0.007210876854092056
3.0,1989-12-01,0.5,R-Squared,-7.172219438594933
3.0,1989-12-01,1.0,RMSE,0.00552697746300302
3.0,1989-12-01,1.0,R-Squared,-0.732164221164584
3.0,1989-12-01,2.0,RMSE,0.008060842660586032
3.0,1989-12-01,2.0,R-Squared,0.30833372691521155
3.0,1989-12-01,3.0,RMSE,0.01346644319945575
3.0,1989-12-01,3.0,R-Squared,0.0032175796141701296
3.0,1989-12-01,4.0,RMSE,0.017861942097037304
3.0,1989-12-01,4.0,R-Squared,-0.3070920564352406
3.0,1989-12-01,5.0,RMSE,0.016798956223921885
3.0,1989-12-01,5.0,R-Squared,-0.3184276767887184
4.0,1989-12-01,0.5,RMSE,0.007086627576479706
4.0,1989-12-01,0.5,R-Squared,-7.250206512611344
4.0,1989-12-01,1.0,RMSE,0.005672034661043003
4.0,1989-12-01,1.0,R-Squared,-1.3690578864100194
4.0,1989-12-01,2.0,RMSE,0.006815983443622159
4.0,1989-12-01,2.0,R-Squared,0.3419618266242338
4.0,1989-12-01,3.0,RMSE,0.010873747240855243
4.0,1989-12-01,3.0,R-Squared,0.13945843718546325
4.0,1989-12-01,4.0,RMSE,0.015312125204453077
4.0,1989-12-01,4.0,R-Squared,-0.14817728095909133
4.0,1989-12-01,5.0,RMSE,0.01444108618169982
4.0,1989-12-01,5.0,R-Squared,-0.16309948904028215
5.0,1989-12-01,0.5,RMSE,0.00715696151977463
5.0,1989-12-01,0.5,R-Squared,-7.768705039065768
5.0,1989-12-01,1.0,RMSE,0.0061432976334155785
5.0,1989-12-01,1.0,R-Squared,-2.6107313056687675
5.0,1989-12-01,2.0,RMSE,0.006015822438304941
5.0,1989-12-01,2.0,R-Squared,0.28942057311824576
5.0,1989-12-01,3.0,RMSE,0.008266797783732729
5.0,1989-12-01,3.0,R-Squared,0.30874650205014953
5.0,1989-12-01,4.0,RMSE,0.012576237274419434
5.0,1989-12-01,4.0,R-Squared,0.06593236125097501
5.0,1989-12-01,5.0,RMSE,0.011926002032322976
5.0,1989-12-01,5.0,R-Squared,0.045490325111015806
6.0,1989-12-01,0.5,RMSE,0.007210139116659559
6.0,1989-12-01,0.5,R-Squared,-8.443224688406472
6.0,1989-12-01,1.0,RMSE,0.006453723189252705
6.0,1989-12-01,1.0,R-Squared,-3.5121434120854618
6.0,1989-12-01,2.0,RMSE,0.005898806479297229
6.0,1989-12-01,2.0,R-Squared,0.22132162860891924
6.0,1989-12-01,3.0,RMSE,0.007535400196803882
6.0,1989-12-01,3.0,R-Squared,0.3471897177495006
6.0,1989-12-01,4.0,RMSE,0.011700728977133954
6.0,1989-12-01,4.0,R-Squared,0.12641441598402858
6.0,1989-12-01,5.0,RMSE,0.011122614972775818
6.0,1989-12-01,5.0,R-Squared,0.1026605699974118
7.0,1989-12-01,0.5,RMSE,0.007307757606950549
7.0,1989-12-01,0.5,R-Squared,-9.244864775608946
7.0,1989-12-01,1.0,RMSE,0.0068587982838686145
7.0,1989-12-01,1.0,R-Squared,-4.6960507935438045
7.0,1989-12-01,2.0,RMSE,0.005924983457779763
7.0,1989-12-01,2.0,R-Squared,0.0934975510506868
7.0,1989-12-01,3.0,RMSE,0.006845742382517972
7.0,1989-12-01,3.0,R-Squared,0.37881124109925357
7.0,1989-12-01,4.0,RMSE,0.010772454797865663
7.0,1989-12-01,4.0,R-Squared,0.19691557981016028
7.0,1989-12-01,5.0,RMSE,0.010273060975662463
7.0,1989-12-01,5.0,R-Squared,0.16983684908493213
8.0,1989-12-01,0.5,RMSE,0.007425504089710231
8.0,1989-12-01,0.5,R-Squared,-10.22177765363123
8.0,1989-12-01,1.0,RMSE,0.0073317249967816646
8.0,1989-12-01,1.0,R-Squared,-6.111996916624088
8.0,1989-12-01,2.0,RMSE,0.00612438468015343
8.0,1989-12-01,2.0,R-Squared,-0.13287747021252683
8.0,1989-12-01,3.0,RMSE,0.006311099205719964
8.0,1989-12-01,3.0,R-Squared,0.381563872454721
8.0,1989-12-01,4.0,RMSE,0.009869302029718583
8.0,1989-12-01,4.0,R-Squared,0.26631114044731896
8.0,1989-12-01,5.0,RMSE,0.009451305339603425
8.0,1989-12-01,5.0,R-Squared,0.23581059589560216
9.0,1989-12-01,0.5,RMSE,0.007553117896180453
9.0,1989-12-01,0.5,R-Squared,-11.298792737861246
9.0,1989-12-01,1.0,RMSE,0.007859526253347522
9.0,1989-12-01,1.0,R-Squared,-7.598566976230835
9.0,1989-12-01,2.0,RMSE,0.006507775109203157
