Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.5,1989-11-01,3.0,R-Squared,0.039072233612830964
0.5,1989-11-01,4.0,RMSE,0.021190694259373203
0.5,1989-11-01,4.0,R-Squared,-0.253538476975268
0.5,1989-11-01,5.0,RMSE,0.020454599762536264
0.5,1989-11-01,5.0,R-Squared,-0.36043570265433167
1.0,1989-11-01,0.5,RMSE,0.006106645196952091
1.0,1989-11-01,0.5,R-Squared,-5.803954817081101
1.0,1989-11-01,1.0,RMSE,0.004830759650561584
1.0,1989-11-01,1.0,R-Squared,-0.7460648221797834
1.0,1989-11-01,2.0,RMSE,0.0089437830232502
1.0,1989-11-01,2.0,R-Squared,0.3734206925468494
1.0,1989-11-01,3.0,RMSE,0.0178325551973237
1.0,1989-11-01,3.0,R-Squared,-0.043923928523490474
1.0,1989-11-01,4.0,RMSE,0.021854277321104808
1.0,1989-11-01,4.0,R-Squared,-0.3527136713568535
1.0,1989-11-01,5.0,RMSE,0.02082525444453283
1.0,1989-11-01,5.0,R-Squared,-0.4254954309208845
2.0,1989-11-01,0.5,RMSE,0.00744645177614043
2.0,1989-11-01,0.5,R-Squared,-3.3176403538616057
2.0,1989-11-01,1.0,RMSE,0.005739852892556341
2.0,1989-11-01,1.0,R-Squared,-1.0582294283331324
2.0,1989-11-01,2.0,RMSE,0.007530847877650969
2.0,1989-11-01,2.0,R-Squared,0.3897234632725657
2.0,1989-11-01,3.0,RMSE,0.014726938452528412
2.0,1989-11-01,3.0,R-Squared,0.04391559821063651
2.0,1989-11-01,4.0,RMSE,0.01907687449988571
2.0,1989-11-01,4.0,R-Squared,-0.2489683304994581
2.0,1989-11-01,5.0,RMSE,0.018162920927392114
2.0,1989-11-01,5.0,R-Squared,-0.29959933165387453
3.0,1989-11-01,0.5,RMSE,0.006817487038739338
3.0,1989-11-01,0.5,R-Squared,-2.552661594434093
3.0,1989-11-01,1.0,RMSE,0.005317367980110543
3.0,1989-11-01,1.0,R-Squared,-1.2002888396642617
3.0,1989-11-01,2.0,RMSE,0.00660264080884504
3.0,1989-11-01,2.0,R-Squared,0.3780611533384516
3.0,1989-11-01,3.0,RMSE,0.012884943499695862
3.0,1989-11-01,3.0,R-Squared,0.06044430261610756
3.0,1989-11-01,4.0,RMSE,0.017325905119914855
3.0,1989-11-01,4.0,R-Squared,-0.22863560076639255
3.0,1989-11-01,5.0,RMSE,0.016566607751881207
3.0,1989-11-01,5.0,R-Squared,-0.2796970875068636
4.0,1989-11-01,0.5,RMSE,0.00664152788446662
4.0,1989-11-01,0.5,R-Squared,-2.2781370399159644
4.0,1989-11-01,1.0,RMSE,0.005419589303696226
4.0,1989-11-01,1.0,R-Squared,-1.7575304171796935
4.0,1989-11-01,2.0,RMSE,0.005576791318275551
4.0,1989-11-01,2.0,R-Squared,0.38692163902948684
4.0,1989-11-01,3.0,RMSE,0.010460669816375218
4.0,1989-11-01,3.0,R-Squared,0.1743296544977011
