execution_date,date,residual
1989-10-01,1962-07-01,0.24320025374050905
1989-10-01,1962-06-01,-0.03035447858268331
1989-10-01,1962-05-01,-0.7425236534853918
1989-10-01,1962-04-01,0.22417969600732712
1989-10-01,1962-03-01,-0.8365627282538366
1989-10-01,1962-02-01,-0.7848200753122254
1989-10-01,1962-01-01,0.20570554617660675
1989-10-01,1961-12-01,0.03841413368111035
1989-10-01,1961-11-01,-0.27824297817014176
1989-10-01,1961-10-01,0.022477498798031403
1989-10-01,1961-09-01,0.6131646661779211
1989-10-01,1961-08-01,0.3470571497474888
1989-10-01,1961-07-01,-0.010407998122358153
1989-10-01,1961-06-01,1.2810827837891965
1989-10-01,1961-05-01,-0.21341693418235125
1989-10-01,1961-04-01,0.0007978337635112243
1989-10-01,1961-03-01,-0.25767095121875533
1989-10-01,1958-11-01,-0.1806973043143354
1989-10-01,1958-10-01,0.35967298357532296
1989-10-01,1958-09-01,0.29563020284457997
1989-10-01,1958-08-01,0.8876735906414693
1989-10-01,1956-04-01,0.2793025806769581
1989-10-01,1956-03-01,0.8142828712553491
1989-10-01,1956-02-01,-0.2372502509454534
1989-10-01,1956-01-01,-0.1620640274709013
1989-10-01,1955-12-01,0.04427287327224272
1989-10-01,1955-11-01,0.38994343011555577
1989-10-01,1955-10-01,-0.41700526227312174
1989-10-01,1955-09-01,-0.47589805698354337
1989-10-01,1955-08-01,0.48001465065457066
1989-10-01,1955-07-01,-0.15173473628907677
1989-10-01,1955-06-01,0.1606848708441343
1989-10-01,1955-05-01,0.49108635676316087
1989-10-01,1955-04-01,-0.4023014711094974
1989-10-01,1955-03-01,0.07272050072499421
1989-10-01,1955-02-01,0.4949647026161048
1989-10-01,1955-01-01,0.05871998498666864
1989-10-01,1954-12-01,-0.7230482034311544
1989-10-01,1954-11-01,-0.3942161824909023
1989-10-01,1954-10-01,0.016743981345852754
1989-10-01,1954-09-01,-0.3254967533886064
1989-10-01,1954-08-01,-1.1622415906079417
1989-10-01,1954-07-01,-0.7151779499174515
1989-10-01,1972-02-01,-0.42395767031622633
1989-10-01,1956-05-01,0.08724074215313637
1989-10-01,1963-02-01,-0.5408801123531142
1989-10-01,1956-06-01,-0.24069851214085913
1989-10-01,1956-08-01,0.6691923466284475
1989-10-01,1958-07-01,0.5972867431645241
1989-10-01,1958-06-01,-0.6993024301563356
1989-10-01,1958-05-01,-0.5556626745424216
1989-10-01,1958-04-01,-1.2485310517498354
1989-10-01,1958-03-01,-0.3902305264873267
1989-10-01,1958-02-01,0.14237935890558867
1989-10-01,1958-01-01,-0.5927914892890527
1989-10-01,1957-12-01,-0.8599133750460531
1989-10-01,1957-11-01,-0.7367867101877763
1989-10-01,1957-10-01,-0.03459938896690362
1989-10-01,1957-09-01,0.17958327471758584
1989-10-01,1957-08-01,0.3214611439181263
1989-10-01,1957-07-01,0.9506041344290432
1989-10-01,1957-06-01,-0.0993043280269923
1989-10-01,1957-05-01,0.04663022589806887
1989-10-01,1957-04-01,0.24330571168950743
