execution_date,mse,r_squared,rmse,maturity
2022-12-01,0.26256739209631097,-1.0494362206839019,0.5124133020290467,8.0 years
2023-01-01,0.6227291389849091,-4.320460311168413,0.7891318894740658,8.0 years
2023-02-01,0.2657190699757479,-1.244085059525553,0.515479456405149,8.0 years
2023-03-01,0.6517464679129475,-5.224077314123711,0.8073081616786415,8.0 years
2023-04-01,0.7929676751308337,-8.494510376434114,0.8904873245200258,8.0 years
2023-05-01,0.4694964678662104,-5.341908753764218,0.6851981230755163,8.0 years
2023-06-01,0.2872728173422845,-3.0479934445650665,0.5359783739501851,8.0 years
2023-07-01,0.2057310165541406,-1.9131207656464349,0.45357581125335666,8.0 years
2023-08-01,0.12909292768192132,-0.7732592898352306,0.3592950426626025,8.0 years
2023-09-01,0.10381242589505611,-0.46196947917729236,0.3221993573784034,8.0 years
2023-10-01,0.3122142366184314,-4.910497875434317,0.5587613413779011,8.0 years
2023-11-01,0.06166677469747892,-0.13370238401987855,0.24832795794569512,8.0 years
2023-12-01,0.19307356680880552,-2.6914874404408247,0.4394013732441053,8.0 years
2024-01-01,0.17533477291607866,-2.461679732345368,0.4187299522557213,8.0 years
2024-02-01,0.055082289058763036,-0.02861138323039447,0.23469616328087478,8.0 years
2024-03-01,0.0655102622891846,-0.1519857613861164,0.255949726097108,8.0 years
2024-04-01,0.18260035843852307,-2.977853093305302,0.42731763178989357,8.0 years
2024-05-01,0.09768516735762396,-1.2993478918156063,0.31254626434757454,8.0 years
2024-06-01,0.06739076953677776,-0.5794910214822564,0.25959732189831575,8.0 years
2024-07-01,0.08954187944680224,-1.0168301274881881,0.29923549162290597,8.0 years
2024-08-01,0.16883977633443195,-3.2481545102544587,0.41090117587375186,8.0 years
2024-09-01,0.29456265676573923,-13.124419823961311,0.5427362681503229,8.0 years
2024-10-01,0.02204296546357018,0.046591666222118966,0.14846873564346866,8.0 years
2024-11-01,0.04854268799109873,-1.002653265135177,0.22032405223011567,8.0 years
2024-12-01,0.07164793540114081,-3.2088749171662743,0.26767131972092345,8.0 years
2025-01-01,0.07945224339821089,-13.049358323356945,0.281872743269389,8.0 years
2025-02-01,0.010057012195270311,-0.4966682831225546,0.10028465583163912,8.0 years
2025-03-01,0.011253939531764387,-0.3527182561168809,0.10608458668328961,8.0 years
2025-04-01,0.03388665649146269,-5.498059155903306,0.18408328683360337,8.0 years
2025-05-01,0.011554956390426559,-1.3248239807708981,0.10749398304289667,8.0 years
2025-06-01,0.022447445605302815,,0.14982471626972238,8.0 years
1992-03-01,2.4940140566361473,-4.364303835223108,1.579244774136089,9.0 years
1992-04-01,2.5165184114938253,-4.68075735760095,1.5863538103127641,9.0 years
1992-05-01,2.3195398526935165,-4.391766122384555,1.5230035629287006,9.0 years
1992-06-01,2.099156865133203,-3.969573334128194,1.4488467362468687,9.0 years
1992-07-01,1.5498250674824192,-2.638493055028768,1.2449197032268464,9.0 years
1992-08-01,1.2219418396889965,-1.8676526865015028,1.1054147817398665,9.0 years
1992-09-01,0.6786779493387557,-0.5828390858917285,0.8238191241642523,9.0 years
1992-10-01,1.3528692044717983,-2.1134705245114223,1.163129057530504,9.0 years
1992-11-01,1.4947047230731807,-2.4276925346423264,1.222581172386186,9.0 years
1992-12-01,1.2019894802178173,-1.708121597566492,1.0963528082774345,9.0 years
