horizon,mse,r_squared,rmse,maturity
33,5.85650723498596,0.43922197613615566,2.4200221558874127,3.0 years
34,6.014870818074438,0.42465992231848193,2.452523357294368,3.0 years
35,6.195311265667838,0.40802160391323383,2.4890382210138595,3.0 years
36,6.374990585160109,0.39150137308149213,2.524874370173714,3.0 years
37,6.541917534087162,0.3762444451820919,2.5577172506137504,3.0 years
38,6.739806635130305,0.3581105123622087,2.5961137561998906,3.0 years
39,6.92746766459902,0.3410291363280996,2.6320082949335513,3.0 years
40,7.0988656660127125,0.32554417135012526,2.664369656412697,3.0 years
41,7.244355518057927,0.3125570805406489,2.6915340454948598,3.0 years
42,7.4009376340702,0.2985801306235927,2.7204664368578784,3.0 years
43,7.596277646557838,0.28095969443250624,2.75613454797799,3.0 years
44,7.831494281783295,0.25962065439760473,2.7984807095606885,3.0 years
45,8.059336909354352,0.23904619594599186,2.838897129054583,3.0 years
46,8.259199917071887,0.22116015257797228,2.87388237704188,3.0 years
47,8.477170578747348,0.2015974234649387,2.9115581015578837,3.0 years
48,8.675952753866468,0.18382810013119066,2.9454970300216683,3.0 years
49,8.863458034632425,0.16715813241008826,2.977156031287649,3.0 years
50,9.02809290969497,0.15270985431644302,3.004678503549917,3.0 years
51,9.187552733721763,0.13869187206282174,3.031097612041183,3.0 years
52,9.409212747917127,0.11876599777795138,3.067444008929442,3.0 years
53,9.648134106484152,0.0971820547785569,3.106144572695249,3.0 years
54,9.873398971726882,0.07692114498823288,3.142196520227034,3.0 years
55,10.121278458305015,0.054626581222187776,3.181395677734069,3.0 years
56,10.374297326304912,0.03192304618938113,3.220915603722785,3.0 years
57,10.610364029890626,0.010770001659836659,3.257355373595369,3.0 years
58,10.835689785411972,-0.009357406571527171,3.291760894325706,3.0 years
59,11.051297936280609,-0.028512754292872033,3.3243492500458807,3.0 years
60,11.269361037297852,-0.04791280379276586,3.356986898588949,3.0 years
1,0.08228658665775662,0.9792834138157934,0.28685638681709114,4.0 years
2,0.18765405637735175,0.9525585406770959,0.4331905543491822,4.0 years
3,0.29836975623777323,0.9243335762584808,0.5462323280782393,4.0 years
4,0.4081867932934382,0.8962885958134795,0.6388949782972458,4.0 years
5,0.5112857425010919,0.8700305411381346,0.7150424760118045,4.0 years
6,0.6066800438011803,0.8458108163909323,0.7788966836501362,4.0 years
7,0.6973573861964228,0.8229130933184258,0.8350792694088525,4.0 years
8,0.7972550801872642,0.7974125035840328,0.8928914156756488,4.0 years
9,0.9121257490401471,0.7677939321187812,0.9550527467319002,4.0 years
10,1.0413467063168655,0.7346042144144664,1.020463966202073,4.0 years
11,1.168385896009976,0.7022674155944248,1.0809190052959454,4.0 years
12,1.2974614974031766,0.6696714169963629,1.1390616740998605,4.0 years
13,1.4379310083805983,0.6342035074062724,1.1991376102769016,4.0 years
14,1.5628035956613109,0.6028760699237563,1.2501214323661964,4.0 years
15,1.6807446017250547,0.5730677583704415,1.2964353442131447,4.0 years
16,1.78977070005274,0.5458551080800348,1.3378231198677724,4.0 years
17,1.902992943954861,0.5175229305232075,1.3794901028839825,4.0 years
18,2.017205899923198,0.4893266992956484,1.4202837392307208,4.0 years
19,2.1366535681090757,0.4598985445666155,1.4617296494595284,4.0 years
20,2.2465102344444667,0.43288716897191026,1.4988362934104802,4.0 years
21,2.3583303266281224,0.405094150107539,1.5356856210266874,4.0 years
22,2.4424407602111433,0.38426220621565765,1.5628310082063075,4.0 years
23,2.5121239550553467,0.3673245581349318,1.5849681243026141,4.0 years
24,2.597899465208567,0.3454481151257376,1.6118000698624402,4.0 years
25,2.690797796767398,0.32028734653645086,1.6403651412924496,4.0 years
26,2.7800440974084912,0.29454698813352487,1.6673464239348976,4.0 years
27,2.864043538942257,0.2692957185395489,1.6923485276213812,4.0 years
28,2.9404354771085757,0.24493759921176772,1.7147698029498233,4.0 years
29,3.0089010052374876,0.22309263446099115,1.7346184033491308,4.0 years
30,3.078631546226234,0.20022069317547486,1.7546029597108954,4.0 years
31,3.1421274692499748,0.17647488333765193,1.7726047131974954,4.0 years
32,3.186426896368137,0.15615340698100644,1.7850565527086633,4.0 years
33,3.2369626061441266,0.13140641427305788,1.799156081651652,4.0 years
34,3.3036035729522673,0.10073934761220704,1.8175817926443552,4.0 years
35,3.375393552856295,0.07005313044841932,1.8372244154855701,4.0 years
36,3.452491283260493,0.04002306793104182,1.8580880719870339,4.0 years
37,3.5202179444054784,0.011775535715979779,1.8762243854095593,4.0 years
38,3.575835578349985,-0.01247735737748834,1.8909879900068072,4.0 years
39,3.6237408130821773,-0.030404312140067002,1.9036125690597279,4.0 years
40,3.666640789985023,-0.04675736532209096,1.9148474586726283,4.0 years
41,3.7113240523498146,-0.06464006070209138,1.9264797046296165,4.0 years
42,3.756400402035845,-0.08251179974074496,1.9381435452607334,4.0 years
43,3.8019423145348847,-0.10055231779285001,1.949856998483449,4.0 years
44,3.8349561265388115,-0.11399617652371319,1.9583044008883836,4.0 years
45,3.8560538871507113,-0.12268629151231547,1.9636837543633932,4.0 years
46,3.875524364741623,-0.13028855692974184,1.9686351527750445,4.0 years
47,3.8917629175729638,-0.13627146947972713,1.9727551590536936,4.0 years
48,3.906607304029777,-0.14428829584169112,1.9765139271024066,4.0 years
49,3.9145609604738936,-0.1524237029599853,1.9785249456284077,4.0 years
50,3.9226244893333746,-0.16286069585945762,1.9805616600685207,4.0 years
51,3.946506256338402,-0.17983410402851452,1.986581550387097,4.0 years
52,3.972641255312941,-0.19668621923318952,1.9931485783335223,4.0 years
53,4.0009731543085785,-0.2154134431433512,2.0002432737816114,4.0 years
54,4.039922732782098,-0.23911912140676694,2.009955903193425,4.0 years
55,4.062274715456851,-0.25610013886539185,2.015508550082795,4.0 years
56,4.0704062494316,-0.2660355250320461,2.0175247828543768,4.0 years
57,4.073908597570428,-0.27319289636247257,2.0183925776643226,4.0 years
58,4.082102888340511,-0.28465602503818777,2.020421463046884,4.0 years
59,4.1026723766453514,-0.30064397388886466,2.025505462013211,4.0 years
60,4.127332971224537,-0.31965356224827524,2.031583857787942,4.0 years
1,0.1347191876146774,0.9858524166617519,0.3670411252362294,5.0 years
2,0.30730366756452326,0.9677451335114309,0.5543497700590515,5.0 years
3,0.464710909566422,0.9512455782104852,0.6816970805030795,5.0 years
4,0.6073516461141225,0.9363152361317739,0.7793276885329575,5.0 years
5,0.7441533203312812,0.9220253073712283,0.8626432172870087,5.0 years
6,0.8869671893578728,0.9071285304300607,0.9417893550884257,5.0 years
7,1.0372965252566007,0.8914633161761201,1.0184775526522913,5.0 years
8,1.1715448574901601,0.8775110047959115,1.0823792576958227,5.0 years
9,1.3122970378157486,0.862909500229239,1.1455553403549514,5.0 years
10,1.4634186998159138,0.84723378932754,1.20971843823921,5.0 years
11,1.6346048009391183,0.8294809144232604,1.278516640853422,5.0 years
12,1.8379035908392747,0.8084117992014604,1.355693029722907,5.0 years
13,2.05707163085838,0.7857276624059529,1.4342495009092315,5.0 years
14,2.2723230764656575,0.7634982291137117,1.5074226601937684,5.0 years
15,2.4640820199661366,0.7437693244641017,1.5697394751888405,5.0 years
16,2.6176972114770947,0.7280570756189987,1.6179299155022429,5.0 years
17,2.775526531692496,0.7119376994096651,1.6659911559466622,5.0 years
18,2.942442679369589,0.694910807817287,1.7153549718264114,5.0 years
19,3.1238965012986797,0.676417572552851,1.7674548088419912,5.0 years
20,3.313554270711982,0.6570639528545086,1.8203170797177017,5.0 years
21,3.4637083383606524,0.6417076074120456,1.8611040643555246,5.0 years
22,3.569400992016018,0.6309181951651606,1.8892858417973757,5.0 years
23,3.6896104159270218,0.6186126693124963,1.9208358638694305,5.0 years
24,3.8310335678115,0.6040836340875718,1.9573026255056984,5.0 years
25,3.971783578857422,0.5895752775678702,1.992933410542716,5.0 years
26,4.093761170510165,0.5769919594290585,2.0233045174936386,5.0 years
27,4.211263280815163,0.5648887722758367,2.052136272476846,5.0 years
28,4.333488956081304,0.5524007648148805,2.0817033785055217,5.0 years
29,4.475991648221602,0.5379760141239631,2.115653952852782,5.0 years
30,4.626676292609157,0.5228223725937775,2.1509710115687652,5.0 years
31,4.771427900731546,0.5083255191880435,2.1843598377400064,5.0 years
32,4.887379708409451,0.4968016412765076,2.21074189095187,5.0 years
33,5.00786007905989,0.4848592022993635,2.237824854419999,5.0 years
34,5.1628759334532,0.4694306983321065,2.272196279693548,5.0 years
35,5.341508348468206,0.45159733621654286,2.3111703417247735,5.0 years
36,5.522653470734293,0.4335475960112092,2.3500326531208655,5.0 years
37,5.694777364992816,0.41648647176876474,2.3863732660656454,5.0 years
38,5.885453170770064,0.39760741470583605,2.425995294877973,5.0 years
39,6.068887674084513,0.37953646602562396,2.4635112490273943,5.0 years
40,6.247725625112386,0.36198966936821675,2.499545083632697,5.0 years
41,6.4061933117326655,0.3465610120031545,2.5310458928539137,5.0 years
42,6.5709411230188115,0.33057265019775806,2.563384700550975,5.0 years
43,6.7889102014032545,0.30918746677868847,2.605553722609314,5.0 years
44,7.0501275143718445,0.28346358663192195,2.6552076217071696,5.0 years
45,7.2960576312581935,0.2593859905169912,2.7011215506263677,5.0 years
46,7.51051174378926,0.2385519181428083,2.7405312885988473,5.0 years
47,7.749846603839918,0.21521958890495507,2.78385463051502,5.0 years
